features
0_Centroid
max_cons3
min_cons3
mean_6
mean_3
min_cons6
std_cons6
var_cons6
std_cons3
0_Area under the curve
mean_12
0_Root mean square
0_Min
var_cons3
0_Median
var_cons12
0_ECDF Percentile_0
0_Mean
0_ECDF Percentile_1
min_cons12
0_Standard deviation
0_Variance
std_cons12
slope_6
0_Peak to peak distance
0_Absolute energy
0_Autocorrelation
0_Total energy
max_cons12
0_Mean absolute deviation
0_Signal distance
0_Max
0_Mean absolute diff
0_Interquartile range
0_Mean diff
0_Median absolute diff
max_cons6
kurt_cons6
0_Entropy
0_Slope
skew_cons3
slope_12
0_Sum absolute diff
0_Median absolute deviation
0_Skewness
kurt_cons12
max_cant_ceros_seg_3
skew_cons12
slope_3
